,年度,所属,所属名,会計,会計名,款,款名,項,項名,目,目名,事業,事業名,節,節名,細節,細節名,予算額,COFOG_Level1,COFOG_Level2
0,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,1,特別職人件費,1,報酬,21,議員報酬,128164000,1,1.1
1,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,1,特別職人件費,3,職員手当等,21,議員手当,53828000,1,1.1
2,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,1,特別職人件費,4,共済費,21,議員共済費,42890000,1,1.1
3,R3,101010000,総務課,1,一般会計,1,議会費,1,議会費,1,議会費,3,一般職人件費,2,給料,1,給料,22690000,1,1.1
4,R3,101010000,総務課,1,一般会計,1,議会費,1,議会費,1,議会費,3,一般職人件費,3,職員手当等,1,職員手当等,14608000,1,1.1
5,R3,101010000,総務課,1,一般会計,1,議会費,1,議会費,1,議会費,3,一般職人件費,4,共済費,1,共済・退職手当組合負担金,11962000,1,1.1
6,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,4,会計年度任用職員人件費（パートタイム）,1,報酬,1,会計年度任用職員報酬,2031000,1,1.1
7,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,4,会計年度任用職員人件費（パートタイム）,3,職員手当等,1,職員手当等,213000,1,1.1
8,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,4,会計年度任用職員人件費（パートタイム）,4,共済費,2,社会保険料,337000,1,1.1
9,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,8,旅費,1,普通旅費,242000,1,1.1
10,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,8,旅費,2,研修旅費,14000,1,1.1
11,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,8,旅費,3,費用弁償,1368000,1,1.1
12,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,9,交際費,21,議会所要交際費,250000,1,1.1
13,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,10,需用費,1,消耗品費,877000,1,1.1
14,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,10,需用費,2,燃料費,138000,1,1.1
15,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,10,需用費,3,食糧費,48000,1,1.1
16,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,10,需用費,4,印刷製本費,2278000,1,1.1
17,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,10,需用費,6,修繕料,513000,1,1.1
18,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,11,役務費,1,通信運搬費,185000,1,1.1
19,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,11,役務費,4,手数料,148000,1,1.1
20,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,11,役務費,5,筆耕翻訳料,3969000,1,1.1
21,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,1,施設設備等保守点検委託料,349000,1,1.1
22,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,21,会議録検索システム委託料,1064000,1,1.1
