,年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,,節,節名称,予算額,COFOG_Level1,COFOG_Level2
0,R3,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,,1,報酬,156806,1,1.1
1,R3,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,,3,職員手当等,64289,1,1.1
2,R3,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,,4,共済費,52754,1,1.1
3,R3,一般会計,1,議会費,1,議会費,1,議会費,1,議員人件費等,,18,負担金・補助及び交付金,210,1,1.1
4,R3,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,,2,給料,36936,1,1.1
5,R3,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,,3,職員手当等,29883,1,1.1
6,R3,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,,4,共済費,13028,1,1.1
7,R3,一般会計,1,議会費,1,議会費,1,議会費,2,職員人件費等,,8,旅費,25,1,1.1
8,R3,一般会計,1,議会費,1,議会費,1,議会費,37,議会報発行経費,,10,需用費,4519,1,1.1
9,R3,一般会計,1,議会費,1,議会費,1,議会費,37,議会報発行経費,,12,委託料,4523,1,1.1
10,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,1,報酬,0,1,1.1
11,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,7,報償費,169,1,1.1
12,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,8,旅費,2860,1,1.1
13,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,9,交際費,500,1,1.1
14,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,10,需用費,933,1,1.1
15,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,11,役務費,1229,1,1.1
16,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,12,委託料,11724,1,1.1
17,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,13,使用料及び賃借料,2159,1,1.1
18,R3,一般会計,1,議会費,1,議会費,1,議会費,38,議会運営費等経費,,18,負担金・補助及び交付金,9000,1,1.1
19,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,,2,給料,739613,1,1.3
20,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,,3,職員手当等,937669,1,1.3
21,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,,4,共済費,261574,1,1.3
22,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,3,職員人件費等,,8,旅費,1030,1,1.3
23,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,39,秘書事務経費,,1,報酬,77,1,1.3
24,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,39,秘書事務経費,,10,需用費,950,1,1.3
25,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,39,秘書事務経費,,13,使用料及び賃借料,22,1,1.3
26,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,40,市渉外経費,,8,旅費,325,1,1.3
27,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,40,市渉外経費,,9,交際費,800,1,1.3
28,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,40,市渉外経費,,18,負担金・補助及び交付金,3343,1,1.3
29,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,41,一般管理経費,,10,需用費,246,1,1.3
30,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,41,一般管理経費,,11,役務費,4674,1,1.3
31,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,41,一般管理経費,,21,補償補填及び賠償金,1,1,1.3
32,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,,1,報酬,90,1,1.3
33,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,,7,報償費,1666,1,1.3
34,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,,10,需用費,270,1,1.3
35,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,,11,役務費,77,1,1.3
36,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,42,表彰関係経費,,12,委託料,50,1,1.3
37,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,,1,報酬,498,1,1.3
38,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,,7,報償費,1097,1,1.3
39,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,,8,旅費,1,1,1.3
40,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,,10,需用費,0,1,1.3
41,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,,11,役務費,26,1,1.3
42,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,43,争訟等関係経費,,12,委託料,193,1,1.3
43,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,44,非常勤職員公務災害補償等審査会経費,,1,報酬,90,1,1.1
44,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,45,特別職報酬等審議会経費,,1,報酬,436,1,1.1
45,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,,1,報酬,282,1,1.3
46,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,,7,報償費,30,1,1.3
47,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,,10,需用費,855,1,1.3
48,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,,11,役務費,5,1,1.3
49,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,,13,使用料及び賃借料,52,1,1.3
50,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,46,契約管理経費,,17,備品購入費,0,1,1.3
51,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,47,生活事務経費,,10,需用費,320,1,1.3
52,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,49,文書管理経費,,1,報酬,0,1,1.3
53,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,49,文書管理経費,,11,役務費,50974,1,1.3
54,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,1,報酬,0,3,3.6
55,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,7,報償費,344,3,3.6
56,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,8,旅費,439,3,3.6
57,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,10,需用費,398,3,3.6
58,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,11,役務費,9,3,3.6
59,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,12,委託料,1214,3,3.6
60,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,13,使用料及び賃借料,0,3,3.6
61,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,50,平和啓発事業,,18,負担金・補助及び交付金,84,3,3.6
62,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,,1,報酬,6586,1,1.3
63,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,,8,旅費,10,1,1.3
64,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,,10,需用費,103,1,1.3
65,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,51,総合オンブズマン制度運営経費,,12,委託料,1,1,1.3
66,R3,一般会計,2,総務費,1,総務管理費,1,一般管理費,972,新型コロナウイルス感染症対策基金,,24,積立金,175,7,7.6
67,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,1,報酬,445826,1,1.3
68,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,3,職員手当等,175269,1,1.3
69,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,4,共済費,132117,1,1.3
70,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,5,災害補償費,2,1,1.3
71,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,7,報償費,391,1,1.3
72,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,8,旅費,19156,1,1.3
73,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,10,需用費,1747,1,1.3
74,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,11,役務費,3223,1,1.3
75,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,12,委託料,18310,1,1.3
76,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,13,使用料及び賃借料,6172,1,1.3
77,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,17,備品購入費,3062,1,1.3
78,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,54,人事管理経費,,18,負担金・補助及び交付金,1161,1,1.3
79,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,,1,報酬,3600,1,1.3
80,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,,8,旅費,118,1,1.3
