,年度,会計名称,款,款名称,項,項名称,目,目名称,事業,事業名称,節,節名称,節細,節細名称,amount,COFOGLevel1,COFOGLevel1Ja,COFOGLevel1En,COFOGLevel2,COFOGLevel2Ja,COFOGLevel2En,COFOGLevel3,COFOGLevel3Ja,COFOGLevel3En
0,2021,一般会計,1,議会費,1,議会費,1,議会費,1,議員報酬等に要する経費,1,報酬,1,議員報酬,151788000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
1,2021,一般会計,1,議会費,1,議会費,1,議会費,1,議員報酬等に要する経費,3,職員手当等,8,期末手当,48731000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
2,2021,一般会計,1,議会費,1,議会費,1,議会費,1,議員報酬等に要する経費,4,共済費,1,共済組合負担金（特別職）,51168000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
3,2021,一般会計,1,議会費,1,議会費,1,議会費,1,議員報酬等に要する経費,8,旅費,1,費用弁償,5239000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
4,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,2,給料,2,一般職給,43870000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
5,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,1,扶養手当,1374000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
6,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,2,住居手当,491000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
7,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,3,通勤手当,969000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
8,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,5,時間外勤務手当,1888000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
9,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,7,管理職手当,3180000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
10,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,8,期末手当,10980000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
11,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,9,勤勉手当,10146000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
12,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,17,地域手当,7748000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
13,2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,4,共済費,2,共済組合負担金（一般職）,15530000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
14,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,7,報償費,1,報償金,400000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
15,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,7,報償費,2,賞賜金,10000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
16,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,1,費用弁償,4780000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
17,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,2,普通旅費,45000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
18,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,3,特別旅費,1010000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
19,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,9,交際費,1,交際費,500000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
20,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,1,消耗品費,1989000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
21,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,3,食糧費,185000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
22,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,4,印刷製本費,6841000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
23,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,6,修繕料,100000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
24,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,1,通信運搬費,376000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
25,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,3,広告料,30000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
26,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,4,手数料,240000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
27,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,1,施設管理委託料,770000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
28,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,2,設計委託料,0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
29,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,5,委託料,17545000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
30,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,13,使用料及び賃借料,1,使用料,2247000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
31,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,13,使用料及び賃借料,2,賃借料,7164000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
32,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,14,工事請負費,3,修繕工事,0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
33,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,1,負担金,2043000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
34,2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,2,補助金,10080000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
35,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,7,報償費,1,報償金,160000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
36,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,8,旅費,1,費用弁償,22000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
